Chrom.1,
UV,
ml,mAU
11.034241,0.019663
11.060883,0.01931
11.087524,0.019401
11.114166,0.017566
11.140808,0.016083
11.16745,0.014525
11.194092,0.013257
11.220764,0.012315
11.247406,0.012787
11.274048,0.012169
11.30069,0.011784
11.327332,0.012919
11.353973,0.013577
11.380615,0.013245
11.407257,0.012455
11.433899,0.013102
11.460541,0.013718
11.487183,0.014255
11.513855,0.015537
11.540497,0.018096
11.567139,0.020578
11.593781,0.020966
11.620422,0.021294
11.647064,0.0202
11.673706,0.018279
11.700348,0.018312
11.72699,0.017259
11.753632,0.016157
11.780304,0.01622
11.806946,0.015721
11.833588,0.014845
11.860229,0.013063
11.886871,0.013929
11.913513,0.013922
11.940155,0.011759
11.966797,0.012243
11.993439,0.012584
12.020081,0.012871
12.046722,0.012249
12.073395,0.011958
12.100037,0.013125
12.126678,0.012765
12.15332,0.011331
12.179962,0.010956
12.206604,0.011104
12.233246,0.009599
12.259888,0.00902
12.28653,0.010897
12.313171,0.012462
12.339844,0.015087
12.366486,0.017681
12.393127,0.020501
12.419769,0.021668
12.446411,0.01999
12.473053,0.019525
12.499695,0.017725
12.526337,0.014056
12.552979,0.010593
12.57962,0.007941
12.606262,0.008399
12.632935,0.00861
12.659576,0.007914
12.686218,0.008689
12.71286,0.010436
12.739502,0.011293
12.766144,0.012165
12.792786,0.01373
12.819427,0.014771
12.846069,0.014777
12.872711,0.015706
12.899384,0.016047
12.926025,0.014844
12.952667,0.012757
12.979309,0.011736
13.005951,0.011013
13.032593,0.009984
13.059235,0.008791
13.085876,0.009924
13.112518,0.013153
13.13916,0.015164
13.165802,0.015929
13.192474,0.019405
13.219116,0.022382
13.245758,0.020767
13.2724,0.018615
13.299042,0.019418
13.325684,0.021256
13.352325,0.020482
13.378967,0.018119
13.405609,0.018156
13.432251,0.019348
13.458923,0.018366
13.485565,0.017368
13.512207,0.016506
13.538849,0.016373
13.565491,0.01631
13.592133,0.015456
13.618774,0.014643
13.645416,0.014361
13.672058,0.014967
13.6987,0.014708
13.725342,0.013799
13.752014,0.013815
13.778656,0.013963
13.805298,0.014258
13.83194,0.012364
13.858582,0.008695
13.885223,0.007285
13.911865,0.008423
13.938507,0.007984
13.965149,0.008876
13.991791,0.010805
14.018463,0.012654
14.045105,0.013098
14.071747,0.012943
14.098389,0.012251
14.125031,0.012745
14.151672,0.011657
14.178314,0.012465
14.204956,0.012629
14.231598,0.012718
14.25824,0.014559
14.284882,0.013743
14.311554,0.013261
14.338196,0.011249
14.364838,0.009935
14.391479,1.944694
14.418121,5.47643
14.444763,8.925826
14.471405,12.061325
14.498047,15.059441
14.524689,17.923765
14.551331,19.1376
14.578003,18.549206
14.604645,17.582039
14.631287,16.729765
14.657928,15.950607
14.68457,15.21138
14.711212,14.542363
14.737854,13.958311
14.764496,13.447683
14.791138,12.976492
14.81778,12.5238
14.844421,12.094337
14.871094,11.691132
14.897736,11.292029
14.924377,10.913146
14.951019,10.573694
14.977661,10.252372
15.004303,9.936141
15.030945,9.616277
15.057587,9.27645
15.084229,8.920511
15.11087,8.54732
15.137512,8.188959
15.164185,7.858193
15.190826,7.539043
15.217468,7.241916
15.24411,6.978994
15.270752,6.739676
15.297394,6.50377
15.324036,6.255394
15.350677,6.005373
15.377319,5.764323
15.403961,5.537413
15.430634,5.308696
15.457275,5.097581
15.483917,4.90605
15.510559,4.72427
15.537201,4.553774
15.563843,4.390488
15.590485,4.24051
15.617126,4.089324
15.643768,3.935996
15.67041,3.787663
15.697052,3.650404
15.723724,3.518692
15.750366,3.384246
15.777008,3.256768
15.80365,3.126166
15.830292,2.992467
15.856934,2.855735
15.883575,2.729894
15.910217,2.620187
15.936859,2.514364
15.963501,2.414187
15.990173,2.326278
16.016815,2.249376
16.043457,2.177389
16.070099,2.101035
16.096741,2.021058
16.123383,1.947944
16.150024,1.884951
16.176666,1.821314
16.203308,1.759409
16.22995,1.702268
16.256592,1.644727
16.283264,1.58709
16.309906,1.534348
16.336548,1.486584
16.36319,1.439043
16.389832,1.38842
16.416473,1.349841
16.443115,1.328761
16.469757,1.310001
16.496399,1.291143
16.523041,1.28291
16.549713,1.274366
16.576355,1.26365
16.602997,1.24795
16.629639,1.241377
16.656281,1.246163
16.682922,1.246353
16.709564,1.243803
16.736206,1.248343
16.762848,1.259455
16.78949,1.268586
16.816132,1.271043
16.842804,1.268103
16.869446,1.26259
16.896088,1.261665
16.922729,1.254555
16.949371,1.244065
16.976013,1.235048
17.002655,1.226275
17.029297,1.219939
